county14,cntyname2,intptlon,intptlat
5063,Independence AR,-91.607538,35.749802
5065,Izard AR,-91.908434,36.120218
5067,Jackson AR,-91.24617,35.621102
5069,Jefferson AR,-92.041187,34.233474
5071,Johnson AR,-93.475531,35.475272
5073,Lafayette AR,-93.557477,33.28763
5075,Lawrence AR,-91.065751,36.070225
5077,Lee AR,-90.774494,34.785214
5079,Lincoln AR,-91.74617,33.97538
5081,Little River AR,-94.196052,33.700518
5083,Logan AR,-93.767985,35.227533
5085,Lonoke AR,-91.970627,34.905178
5087,Madison AR,-93.755289,36.06131
5089,Marion AR,-92.663367,36.28457
5091,Miller AR,-93.987536,33.400831
5093,Mississippi AR,-89.998969,35.84288
5095,Monroe AR,-91.217999,34.777729
5097,Montgomery AR,-93.622698,34.517013
5099,Nevada AR,-93.358112,33.722168
5101,Newton AR,-93.17046,35.984941
5103,Ouachita AR,-92.838829,33.574461
5105,Perry AR,-92.779252,34.999054
5107,Phillips AR,-90.707768,34.529768
5109,Pike AR,-93.624754,34.187298
5111,Poinsett AR,-90.557993,35.601911
5113,Polk AR,-94.258459,34.52045
5115,Pope AR,-93.097238,35.309776
5117,Prairie AR,-91.536263,34.859178
5119,Pulaski AR,-92.311626,34.77372
5121,Randolph AR,-90.988408,36.304758
5123,St. Francis AR,-90.770295,35.015313
5125,Saline AR,-92.546179,34.593233
5127,Scott AR,-94.095932,34.907145
5129,Searcy AR,-92.659186,35.922829
5131,Sebastian AR,-94.354467,35.318195
5133,Sevier AR,-94.304124,34.014237
5135,Sharp AR,-91.520123,36.178493
5137,Stone AR,-92.137019,35.856705
5139,Union AR,-92.645117,33.20687
5141,Van Buren AR,-92.421492,35.56784
5143,Washington AR,-94.172183,36.094275
5145,White AR,-91.767302,35.243736
5147,Woodruff AR,-91.252102,35.233191
5149,Yell AR,-93.289376,35.120982
6001,Alameda CA,-122.100535,37.705202
6003,Alpine CA,-119.847491,38.728298
6005,Amador CA,-120.775657,38.394208
6007,Butte CA,-121.707783,39.669038
6009,Calaveras CA,-120.633657,38.163627
6011,Colusa CA,-122.0856,39.156148
6013,Contra Costa CA,-122.030141,37.935588
6015,Del Norte CA,-124.163098,41.791232
6017,El Dorado CA,-120.743936,38.746544
6019,Fresno CA,-119.767821,36.738919
6021,Glenn CA,-122.177477,39.663418
6023,Humboldt CA,-124.087225,40.752982
6025,Imperial CA,-115.534587,32.841102
6027,Inyo CA,-118.268979,37.160248
6029,Kern CA,-118.936207,35.372968
6031,Kings CA,-119.728977,36.24275
6033,Lake CA,-122.734745,38.973362
6035,Lassen CA,-120.579613,40.392397
6037,Los Angeles CA,-118.244292,34.065193
6039,Madera CA,-120.006567,37.043099
6041,Marin CA,-122.547107,37.986706
6043,Mariposa CA,-119.95728,37.542748
6045,Mendocino CA,-123.39749,39.285329
6047,Merced CA,-120.623894,37.281017
6049,Modoc CA,-120.651112,41.522584
6051,Mono CA,-118.971427,37.763323
6053,Monterey CA,-121.646434,36.611722
6055,Napa CA,-122.321752,38.329076
6057,Nevada CA,-120.91627,39.219524
6059,Orange CA,-117.862974,33.733954
6061,Placer CA,-121.182134,38.844511
6063,Plumas CA,-120.826471,39.983857
6065,Riverside CA,-117.066516,33.80044
6067,Sacramento CA,-121.380818,38.568951
6069,San Benito CA,-121.403883,36.843405
6071,San Bernardino CA,-117.357204,34.190248
6073,San Diego CA,-117.113136,32.883261
6075,San Francisco CA,-122.438322,37.759599
6077,San Joaquin CA,-121.298079,37.931805
6079,San Luis Obispo CA,-120.667817,35.342391
6081,San Mateo CA,-122.341093,37.563951
6083,Santa Barbara CA,-120.093457,34.639262
6085,Santa Clara CA,-121.910517,37.315105
6087,Santa Cruz CA,-121.936794,36.985172
6089,Shasta CA,-122.299786,40.580269
6091,Sierra CA,-120.414058,39.612589
6093,Siskiyou CA,-122.489927,41.576204
6095,Solano CA,-122.069158,38.235582
6097,Sonoma CA,-122.720662,38.41408
6099,Stanislaus CA,-120.955575,37.619148
6101,Sutter CA,-121.644287,39.135491
6103,Tehama CA,-122.218755,40.115187
6105,Trinity CA,-123.072169,40.681269
6107,Tulare CA,-119.231702,36.251227
6109,Tuolumne CA,-120.328508,37.971531
6111,Ventura CA,-119.025017,34.241989
6113,Yolo CA,-121.72116,38.598913
6115,Yuba CA,-121.506524,39.13883
8001,Adams CO,-104.927475,39.874297
8003,Alamosa CO,-105.877242,37.483069
8005,Arapahoe CO,-104.845952,39.647529
8007,Archuleta CO,-107.084999,37.240087
8009,Baca CO,-102.527102,37.368221
8011,Bent CO,-103.163063,38.072386
8013,Boulder CO,-105.183938,40.063299
8014,Broomfield CO,-105.055489,39.936889
8015,Chaffee CO,-106.082783,38.676497
8017,Cheyenne CO,-102.457748,38.816796
8019,Clear Creek CO,-105.529697,39.712958
8021,Conejos CO,-105.989023,37.195652
8023,Costilla CO,-105.448474,37.281779
8025,Crowley CO,-103.857403,38.188548
8027,Custer CO,-105.381556,38.134216
8029,Delta CO,-107.910477,38.798565
8031,Denver CO,-104.955052,39.721431
8033,Dolores CO,-108.757505,37.740817
8035,Douglas CO,-104.879731,39.485271
8037,Eagle CO,-106.717592,39.599454
8039,Elbert CO,-104.519277,39.382868
8041,El Paso CO,-104.758484,38.873669
8043,Fremont CO,-105.206539,38.426059
8045,Garfield CO,-107.539409,39.507562
8047,Gilpin CO,-105.480202,39.85702
8049,Grand CO,-105.975449,40.050389
8051,Gunnison CO,-106.944777,38.657887
8053,Hinsdale CO,-107.296567,37.996875
8055,Huerfano CO,-104.884195,37.616312
8057,Jackson CO,-106.291296,40.692851
8059,Jefferson CO,-105.128792,39.720524
8061,Kiowa CO,-102.680607,38.470658
8063,Kit Carson CO,-102.435736,39.309764
8065,Lake CO,-106.308058,39.24587
8067,La Plata CO,-107.806198,37.265199
8069,Larimer CO,-105.09919,40.504547
8071,Las Animas CO,-104.503113,37.196602
