GEO.id,GEO.id2,GEO.display-label,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49,VD50,VD51,VD52,VD53,VD54,VD55,VD56,VD57,VD58,VD59,VD60,VD61,VD62,VD63,VD65,VD66,VD67,VD68,VD69,VD70,VD71,VD72,VD73,VD74,VD75,VD77,VD78,VD79,VD80,VD81,VD82,VD83,VD84,VD85,VD86,VD87
0500000US51570,51570,"Colonial Heights city, Virginia",uSF1,VA,050,00,000,,0127821,3,5,54,51,570,14,,,,,,9,,,,,,,,,,,,,,,,,,6760,20,99,N,9999,9999,9,00,,,,,,,,,,,,,,,,,,19361816,802324,Colonial Heights city,F,N,16897,7340,+37262257,-077402728,08,,,,,,,,,,,,
0500000US51580,51580,"Covington city, Virginia",uSF1,VA,050,00,000,,0128223,3,5,54,51,580,13,,,,,,9,,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,,,,,,,,,,,,,,,,,,14689470,0,Covington city,F,Y,6303,3195,+37786225,-079988817,08,,,,,,,,,,,,
0500000US51590,51590,"Danville city, Virginia",uSF1,VA,050,00,000,,0128492,3,5,54,51,590,16,,,,,,9,,,,,,,,,,,,,,,,,,1950,18,99,N,9999,9999,9,00,,,,,,,,,,,,,,,,,,111527387,2269642,Danville city,F,N,48411,23108,+36587238,-079404404,08,,,,,,,,,,,,
0500000US51595,51595,"Emporia city, Virginia",uSF1,VA,050,00,000,,0129595,3,5,54,51,595,13,,,,,,9,,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,,,,,,,,,,,,,,,,,,17852615,191800,Emporia city,F,Y,5665,2412,+36693018,-077538090,08,,,,,,,,,,,,
0500000US51600,51600,"Fairfax city, Virginia",uSF1,VA,050,00,000,,0129847,3,5,54,51,600,15,,,,,,9,,,,,,,,,,,,,,,,,,8872,23,97,N,8840,9999,9,00,,,,,,,,,,,,,,,,,,16343135,0,Fairfax city,F,N,21498,8204,+38852612,-077304377,08,,,,,,,,,,,,
0500000US51610,51610,"Falls Church city, Virginia",uSF1,VA,050,00,000,,0130156,3,5,54,51,610,14,,,,,,9,,,,,,,,,,,,,,,,,,8872,23,97,N,8840,9999,9,00,,,,,,,,,,,,,,,,,,5143012,0,Falls Church city,F,Y,10377,4725,+38884481,-077176155,08,,,,,,,,,,,,
0500000US51620,51620,"Franklin city, Virginia",uSF1,VA,050,00,000,,0130332,3,5,54,51,620,13,,,,,,9,,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,,,,,,,,,,,,,,,,,,21633451,121516,Franklin city,F,Y,8346,3767,+36674954,-076930799,08,,,,,,,,,,,,
0500000US51630,51630,"Fredericksburg city, Virginia",uSF1,VA,050,00,000,,0130565,3,5,54,51,630,14,,,,,,9,,,,,,,,,,,,,,,,,,8872,23,97,N,8840,9999,9,00,,,,,,,,,,,,,,,,,,27240815,11569,Fredericksburg city,F,Y,19279,8888,+38301829,-077470778,08,,,,,,,,,,,,
0500000US51640,51640,"Galax city, Virginia",uSF1,VA,050,00,000,,0130976,3,5,54,51,640,13,,,,,,9,,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,,,,,,,,,,,,,,,,,,21311140,0,Galax city,F,Y,6837,3217,+36664675,-080920275,08,,,,,,,,,,,,
0500000US51650,51650,"Hampton city, Virginia",uSF1,VA,050,00,000,,0131227,3,5,54,51,650,18,,,,,,9,,,,,,,,,,,,,,,,,,5720,21,99,N,9999,9999,9,00,,,,,,,,,,,,,,,,,,134112964,218719814,Hampton city,F,Y,146437,57311,+37034946,-076360126,08,,,,,,,,,,,,
