FIPS,corn_bush,corn_usd,cotton_bales,cotton_usd
12067,391213,NA,3399,1132000
12069,NA,NA,,
12073,NA,NA,,
12075,945,1549000,,
12077,NA,NA,,
12079,375816,3795000,NA,NA
12081,,NA,,
12083,NA,NA,NA,NA
12086,NA,1000,,
12089,730,48000,,
12091,56808,140000,4976,NA
12093,,NA,,
12095,,NA,,
12099,7080,NA,,
12105,NA,NA,,
12107,NA,NA,,
12109,28506,1290000,,
12113,70982,464000,33947,11808000
12115,,NA,,
12121,616593,3780000,,
12123,NA,NA,,
12125,31600,NA,,
12127,32334,NA,,
12129,3550, (Z),,
12131,26750,272000,5550,1805000
12133,81689,NA,2783,837000
13001,113688,2621000,52694,19069000
13003,644588,2126000,25542,8690000
13005,74100,2097000,19756,6716000
13007,1792331,4513000,25121,9078000
13009,,NA,,
13011,21427,143000,,
13013,1890,2000,NA,NA
13015,285195,863000,3396,1179000
13017,571980,1011000,16789,5699000
13019,823719,1413000,32660,11025000
13021,11125,NA,,
13023,966067,1961000,9503,3385000
13025,128090,NA,58,NA
13027,398375,3943000,66240,24245000
13029,NA,169000,NA,NA
13031,698493,2685000,111315,39101000
13033,2289827,11795000,66847,23383000
13035,,NA,,
13037,2132457,8177000,37818,13388000
13043,40207,39000,14686,5085000
13045,8138,204000,,
13047,NA,NA,,
13049,3590,27000,,
13051,,4000,,
13055,53057,NA,,
13057,950,56000,,
13059,,NA,,
13061,199481,1172000,15290,5416000
13063,,NA,,
13065,24154,247000,NA,NA
13069,706241,2378000,63028,23041000
13071,416654,3367000,89679,31325000
13073,,NA,,
13075,147314,1336000,29669,9650000
13077,16011,284000,,
13079,NA,NA,NA,NA
13081,231853,686000,58113,20054000
13083,NA,27000,,
13085,37320,NA,,
13087,2465002,8721000,85561,28925000
13091,362110,1198000,24364,8561000
13093,511023,2202000,134369,47969000
13095,353370,NA,5640,1881000
13097,30200,NA,,
13099,1497446,4770000,57049,19264000
13101,184255,NA,890,NA
13103,178765,NA,12752,4378000
13105,23467,NA,NA,NA
13107,267857,644000,35202,12374000
13109,208397,646000,10264,3560000
13111,47028,NA,,
13113,NA,12000,NA,NA
13115,225170,1334000,NA,NA
13117,3396,NA,,
13119,52050,191000,,
13121,13836,4000,,
13123,57274,224000,,
13129,919304,1520000,NA,NA
13131,1076709,4696000,36123,13444000
13135,NA,NA,,
13137,NA,416000,,
13139,105836,NA,,
13143,2260,414000,,
13145,14141,3000,,
13147,116560,489000,,
13149,NA,NA,,
13153,339038,890000,7111,2387000
13155,1703607,3701000,53137,18473000
13157,,6000,,
13159,NA,17000,,
13161,303763,NA,29612,10307000
13163,1889910,10336000,26061,9674000
13165,512508,1191000,27765,9507000
13167,129010,2940000,5498,1684000
13169,,NA,,
13171,NA,NA,,
13173,160078,1172000,12650,4426000
13175,810130,1274000,17959,6803000
13177,1325218,3498000,28087,10081000
13179,NA,NA,,
13183,25500,NA,,
